---362.23112607 seconds ---
40 32 0.810666
48 32 0.480565
584 48 0.497072
592 48 0.436295
1392 48 0.54617
584 56 0.49806
1384 56 0.818532
88 72 0.930247
96 72 0.998699
560 72 0.715573
1368 72 0.577682
88 80 0.496646
760 80 0.492498
1352 80 0.463829
1360 80 0.963591
760 88 0.857776
768 88 0.69898
1344 88 0.606681
1352 88 0.949389
760 96 0.630041
768 96 0.820248
1344 96 0.771486
120 104 0.60661
128 104 0.569491
192 104 0.41533
200 104 0.493041
1336 104 0.581003
112 112 0.496101
120 112 0.988751
128 112 0.774811
200 112 0.496108
128 120 0.999349
136 120 0.496499
1312 120 0.490293
1320 120 0.858334
128 128 0.999845
136 128 0.506837
1304 128 0.519302
1312 128 0.790089
432 136 0.980773
440 136 0.744748
1304 136 0.660697
432 144 0.969629
440 144 0.515222
1296 144 0.444903
512 152 0.602674
520 152 0.945278
1280 152 0.504539
1288 152 0.902675
504 160 0.497173
512 160 0.999928
520 160 0.999792
712 160 0.689306
1280 160 0.900132
512 168 0.722163
1272 168 0.872678
1256 176 0.854414
1264 176 0.966299
144 184 0.589544
152 184 0.871196
664 184 0.861878
672 184 0.967869
1248 184 0.595555
1256 184 0.968317
144 192 0.98533
152 192 0.999999
664 192 0.996474
672 192 0.997656
1240 192 0.540138
1248 192 0.991851
144 200 0.99034
152 200 0.926629
664 200 0.5713
672 200 0.95174
1232 200 0.406312
1240 200 0.952975
1232 208 0.913399
1224 216 0.777414
1216 224 0.531483
1192 248 0.831767
1176 256 0.946227
1184 256 0.945838
1520 256 0.470483
1528 256 0.994692
1536 256 0.995333
776 264 0.461888
1168 264 0.997595
1176 264 0.999944
1520 264 0.999029
1528 264 1.0
1536 264 1.0
1544 264 0.983314
1160 272 0.988529
1168 272 0.99984
1176 272 0.623779
1408 272 0.787268
1416 272 0.449483
1520 272 0.999999
1528 272 1.0
1536 272 1.0
1544 272 0.999149
1592 272 0.96872
1600 272 0.930634
1160 280 0.947973
1400 280 0.498698
1520 280 0.879343
1528 280 0.99994
1536 280 0.998504
1592 280 0.998996
1600 280 0.979727
1144 288 0.411612
1584 288 0.889354
1592 288 0.939977
1600 288 0.570198
1144 296 0.405444
1128 304 0.453977
1136 304 0.991695
1320 304 0.559104
1328 304 0.625804
1128 312 0.58727
1136 312 0.429336
1176 312 0.546589
1320 312 0.859675
1352 312 0.470576
1168 320 0.989334
1176 320 0.506679
1352 320 0.452713
1360 320 0.484045
1168 328 0.946123
1176 328 0.567457
776 336 0.653672
784 336 0.941248
864 336 0.569833
776 344 0.995223
784 344 0.99949
792 344 0.999838
776 352 0.513994
784 352 0.885035
792 352 0.99804
800 352 0.756961
1440 352 0.480544
1448 352 0.483558
792 360 0.470061
800 360 0.633681
808 360 0.672239
1440 360 0.886914
1448 360 0.78824
